##     smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(4, 1, 1)) ##

Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.2055,0.2055,0.7374,0.3716
case000066,0.187,0.187,1.7753,0.3345
case000067,0.1748,0.1748,0.6721,0.3229
case000068,0.1868,0.1868,0.6783,0.338
case000070,0.2023,0.2023,0.7017,0.3823
Average,0.19127999999999998,0.19127999999999998,0.91296,0.34985999999999995

##     smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(10, 1, 1)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.2005,0.2005,0.7091,0.3684
case000066,0.184,0.184,2.3466,0.335
case000067,0.1718,0.1718,1.5316,0.3197
case000068,0.1762,0.1762,0.696,0.3287
Average,0.183125,0.183125,1.320825,0.33795

##     smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(10, 2.5, 2.5)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.2256,0.2256,0.7965,0.4019
case000066,0.3314,0.3314,1.8236,0.5041
case000067,0.2925,0.2925,0.8392,0.4722
case000068,0.2558,0.2558,1.0057,0.4041
case000069,0.2652,0.2652,0.8682,0.4143
Average,0.27409999999999995,0.27409999999999995,1.06664,0.43931999999999993

##     smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(10, 0, 0)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.2445,0.2445,0.8108,0.4058
case000066,0.187,0.187,2.3022,0.3395
case000067,0.188,0.188,1.5974,0.3342
case000068,0.217,0.217,0.6674,0.3645
case000069,0.2554,0.2554,1.2349,0.4127
Average,0.21837999999999996,0.21837999999999996,1.32254,0.37134000000000006


##     smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(10, 0.5, 0.5)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.2249,0.2249,0.7936,0.3856
case000066,0.1823,0.1823,2.1604,0.3338
case000067,0.1811,0.1811,1.3827,0.3284
case000068,0.2033,0.2033,0.6413,0.3499
case000069,0.2454,0.2454,1.3994,0.4009
Average,0.20740000000000003,0.20740000000000003,1.2754800000000002,0.35972

##     smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(10, 1.5, 1.5)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.1959,0.1959,0.7286,0.367
case000066,0.2068,0.2068,2.23,0.3573
case000067,0.1738,0.1738,1.2125,0.3242
case000068,0.179,0.179,0.6476,0.3335
case000069,0.2118,0.2118,0.9799,0.3667
Average,0.19346000000000002,0.19346000000000002,1.1597199999999999,0.34974000000000005


##    smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(5, 1.5, 1.5)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.1952,0.1952,0.6777,0.3666
case000066,0.2071,0.2071,1.7965,0.3497
case000067,0.1791,0.1791,0.6782,0.3246
case000068,0.1782,0.1782,0.6082,0.3344
case000069,0.1872,0.1872,0.7667,0.3506
Average,0.18936000000000003,0.18936000000000003,0.9054599999999999,0.34518

##    smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(5, 2, 2)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.2025,0.2025,0.7229,0.3725
case000066,0.2492,0.2492,1.4892,0.3938
case000067,0.2254,0.2254,0.6594,0.3688
case000068,0.1954,0.1954,0.7123,0.3518
case000069,0.2098,0.2098,0.6823,0.3629
Average,0.21646,0.21646,0.85322,0.36995999999999996

##    smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(5, 1, 1)) ##
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.2042,0.2042,0.7376,0.371
case000066,0.1865,0.1865,1.8191,0.3352
case000067,0.174,0.174,0.887,0.3226
case000068,0.1844,0.1844,0.6453,0.3371
case000069,0.2225,0.2225,0.9438,0.3738
Average,0.19432,0.19432,1.00656,0.34794

    smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(7.5, 1.5, 1.5))
Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.194,0.194,0.7179,0.3646
case000066,0.2073,0.2073,2.1031,0.3537
case000067,0.1723,0.1723,0.6436,0.3222
case000068,0.1775,0.1775,0.6069,0.332
case000069,0.1928,0.1928,0.7004,0.3556
Average,0.18878,0.18878,0.9543800000000001,0.34562

    smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(2.5, 1.5, 1.5))

Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.1979,0.1979,0.8048,0.3696
case000066,0.2064,0.2064,1.4884,0.3512
case000067,0.1833,0.1833,0.5801,0.3313
case000068,0.18,0.18,0.6429,0.3365
case000069,0.1875,0.1875,0.6875,0.35
Average,0.19102000000000002,0.19102000000000002,0.8407399999999999,0.34772






Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.1958,0.1958,0.725,0.3673
case000066,0.2069,0.2069,1.7785,0.3494
case000067,0.1793,0.1793,0.6052,0.3238
case000068,0.1771,0.1771,0.6383,0.3317
case000069,0.1869,0.1869,0.7226,0.3488
Average,0.18919999999999998,0.18919999999999998,0.8939199999999999,0.34419999999999995

Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.1948,0.1948,0.7389,0.3656
case000066,0.208,0.208,1.7784,0.3519
